mother 	OEDIPUS_COMPLEX	None	"If a mother figure appears in your dream, this generally refers to a sexual symbolism."
father	OEDIPUS_COMPLEX	None	"Father figures for males are associated with envy. Perhaps you have some unresolved family conflict."
mum	OEDIPUS_COMPLEX	None	"If a mother figure appears in your dream, this generally refers to a sexual symbolism."
dad	OEDIPUS_COMPLEX	None	"Father figures for males are associated with envy. Perhaps you have some unresolved family conflict."
table	OEDIPUS_COMPLEX	None	"Tables represent women or mother figures."
house	BODY	None	"House represent the body. smooth, featureless buildings and male whilst featurfull ones with clingable objects are female."
horse	PARENTS	None	"Freud interpreted that horses were symbolic of the father. Little Hans, a patient of Freuds, feared that the horse would castrate him as punishment for the incestuous desires towards his mother."
sea	PSYCHE	None	"Visions of sea depend on its form. Calm seas reflect a good future. Rough seas show obstacles in your way. Perhaps you are going through the motions with someone?"
field	PSYCHE	None	"Fields show a calmness in ones mind."
king	PSYCHE	POSITIVE	"Kings are the sign of a prosperous leader. It suggests you have the power to overcome obstacles."
queen	PSYCHE	None	"Queens are ambigous their meaning is dependant on how they are represented in the dream."
big animal	PARENTS	None	"Big animals are associated with dominance of the parents."
mansion	BODY	None	"A lavish building many features shows a well off physical presence."
sea	PSYCHE	None	"Visions of sea depend on its form. Calm seas reflect a good future. Rough seas show obstacles in your way. Perhaps you are going through the motions with someone?" 
small animal	CHILDREN	None	"Small animals represent children in dreams."
vermin	CHILDREN	NEGATIVE	"Vermin represent a resentment to children."
spider	SIBLINGS	NEGATIVE	"According to Jung, spiders represent shadows of ones personality, much like prey to a web."
water	BIRTH	None	"Birth is almost always represented by some reference to water, indicating a mother-relationship to that person."
seed	BIRTH	None	"Seeds can represent a plan that was initiated and will grow. You should try discover the path to collect the fruits of this seed."
journey	DEATH	None	"Journeys represent death."
trip	DEATH	None	"Taking a trip shows a willingness for death."
clothes	BODY	None	"Clothes represents nakedness, typically by uniforms."
naked	BODY	None	"Nakedness is a sign you need to be less reliant on others. Maybe your going through a phase of independance?"
three	SEX_SYMBOL	None	"The number three is a reference to your genetalia. You aren't being true to yourself."
long	None	SOMEWHAT_NEGATIVE	None
umbrella	SEX_SYMBOL	None	"Umbrellas typically represent penises."
bath	BODY	None	"Baths represent exposure and content in ones life."
pole	SEX_SYMBOL	None	"Poles typically represent penises."
tree	SEX_SYMBOL	None	"Trees typically represent penises."
stick	SEX_SYMBOL	None	"Sticks typically represent penises."
washington	SEX_SYMBOL	None	"The Washington Monument is a typically representation of a penises."
eiffel	SEX_SYMBOL	None	"The Eiffel tower definitely represents a penise."
knife	PSYCHE	NEGATIVE	"Knifes are a sign that you need to abandon a routine or person from your life."
gun	SEX_SYMBOL	VERY_NEGATIVE	"Guns represent aggressive confrontation."
sword	SEX_SYMBOL	POSITIVE	"Swords represent victory."
telescope	SEX_SYMBOL	None	"Telesopes typically represent penises."
fountain	SEX_SYMBOL	None	"Fountains symbolise a desire for new sexual ventures."
waterfall	PSYCHE	POSITIVE	"Waterfalls represent letting go and embracing something new."
